date,total_system_load,hhs_care,cbp_custody,net_daily_intake,transferred_out_cbp,discharged_hhs,observed_days
2024-10-13,6195.857142857143,5993.714285714285,202.14285714285714,114.0,896.0,782.0,5
2024-10-20,6241.571428571428,5996.0,245.57142857142858,192.0,889.0,697.0,5
2024-10-27,6307.714285714285,6019.5,288.2142857142857,110.0,703.0,593.0,4
2024-11-03,6314.0,6077.0,237.0,127.0,930.0,803.0,5
2024-11-10,6255.857142857143,6041.785714285715,214.07142857142858,112.0,684.0,572.0,4
2024-11-17,6151.857142857143,5940.857142857143,211.0,40.0,841.0,801.0,5
2024-11-24,6026.857142857143,5795.714285714285,231.14285714285714,12.0,861.0,849.0,5
2024-12-01,6201.285714285715,5900.142857142857,301.14285714285717,314.0,1058.0,744.0,5
2024-12-08,6510.142857142857,6244.857142857143,265.2857142857143,356.0,1015.0,659.0,5
2024-12-15,6704.571428571428,6394.0,310.57142857142856,209.0,1102.0,893.0,5
2024-12-22,6880.571428571428,6564.0,316.57142857142856,146.0,1086.0,940.0,5
2024-12-29,6792.428571428572,6600.428571428572,192.0,22.0,866.0,844.0,5
2025-01-05,6322.214285714285,6233.785714285715,88.42857142857143,-326.0,350.0,676.0,4
2025-01-12,5552.571428571428,5467.857142857143,84.71428571428571,-540.0,366.0,906.0,5
2025-01-19,4998.0,4842.428571428572,155.57142857142858,-218.0,601.0,819.0,5
2025-01-26,4619.714285714285,4543.857142857143,75.85714285714286,-207.0,413.0,620.0,5
2025-02-02,3912.1428571428573,3872.1428571428573,40.0,-454.0,200.0,654.0,5
2025-02-09,3199.285714285714,3167.1428571428573,32.142857142857146,-398.0,126.0,524.0,5
2025-02-16,2721.5714285714284,2705.785714285714,15.785714285714286,-181.0,70.0,251.0,4
2025-02-23,2516.714285714286,2497.4285714285716,19.285714285714285,-45.0,65.0,110.0,5
2025-03-02,2391.5714285714284,2373.285714285714,18.285714285714285,-95.0,43.0,138.0,5
2025-03-09,2240.714285714286,2215.285714285714,25.428571428571427,-105.0,53.0,158.0,5
2025-03-16,2133.5714285714284,2117.1428571428573,16.428571428571427,-28.0,34.0,62.0,5
2025-03-23,2146.714285714286,2122.714285714286,24.0,6.0,40.0,34.0,5
2025-03-30,2181.1428571428573,2162.4285714285716,18.714285714285715,32.0,51.0,19.0,5
2025-04-06,2239.714285714286,2215.1428571428573,24.571428571428573,17.0,56.0,39.0,5
2025-04-13,2284.714285714286,2260.1428571428573,24.571428571428573,29.0,66.0,37.0,6
2025-04-20,2314.5714285714284,2292.1428571428573,22.428571428571427,-4.0,42.0,46.0,5
2025-04-27,2324.0,2300.4285714285716,23.571428571428573,-9.0,42.0,51.0,5
2025-05-04,2344.714285714286,2314.5714285714284,30.142857142857142,0.0,56.0,56.0,5
2025-05-11,2384.5714285714284,2356.714285714286,27.857142857142858,22.0,79.0,57.0,5
2025-05-18,2440.5714285714284,2410.5714285714284,30.0,16.0,68.0,52.0,5
2025-05-25,2511.1857142857143,2473.6,37.58571428571429,8.0,47.0,39.0,3
2025-06-01,2540.3142857142857,2509.828571428571,30.485714285714288,2.0,50.0,48.0,4
2025-06-08,2530.714285714286,2510.4285714285716,20.285714285714285,-36.0,45.0,81.0,5
2025-06-15,2541.163265306123,2515.387755102041,25.77551020408163,0.0,21.0,21.0,2
2025-06-22,2529.7653061224487,2510.612244897959,19.153061224489797,-17.0,22.0,39.0,3
2025-06-29,2467.5714285714284,2453.4285714285716,14.142857142857142,-86.0,26.0,112.0,5
2025-07-06,2384.1428571428573,2365.785714285714,18.357142857142858,-59.0,25.0,84.0,4
2025-07-13,2274.0,2259.4285714285716,14.571428571428571,-98.0,23.0,121.0,5
2025-07-20,2167.5714285714284,2154.285714285714,13.285714285714286,-63.0,8.0,71.0,4
2025-07-27,2118.4285714285716,2102.4285714285716,16.0,-55.0,24.0,79.0,5
2025-08-03,2075.8571428571427,2061.285714285714,14.571428571428571,-43.0,19.0,62.0,5
2025-08-10,2046.2857142857142,2027.4285714285713,18.857142857142858,-32.0,38.0,70.0,5
2025-08-17,2018.5714285714287,1995.0,23.571428571428573,-25.0,31.0,56.0,5
2025-08-24,2012.4285714285713,1979.142857142857,33.285714285714285,-29.0,32.0,61.0,5
2025-08-31,2018.2857142857142,1990.2857142857142,28.0,-19.0,43.0,62.0,4
2025-09-07,2048.8571428571427,2018.7142857142858,30.142857142857142,3.0,48.0,45.0,5
2025-09-14,2085.8571428571427,2047.5714285714287,38.285714285714285,23.0,72.0,49.0,5
2025-09-21,2146.285714285714,2105.285714285714,41.0,2.0,56.0,54.0,5
2025-09-28,2174.5714285714284,2140.0,34.57142857142857,-9.0,60.0,69.0,5
2025-10-05,2202.285714285714,2165.4285714285716,36.857142857142854,-2.0,64.0,66.0,5
2025-10-12,2240.4285714285716,2197.5,42.92857142857143,-2.0,47.0,49.0,4
2025-10-19,2262.8571428571427,2231.8571428571427,31.0,20.0,65.0,45.0,5
2025-10-26,2297.5714285714284,2262.714285714286,34.857142857142854,18.0,74.0,56.0,5
2025-11-02,2304.285714285714,2282.285714285714,22.0,-6.0,47.0,53.0,5
2025-11-09,2308.714285714286,2275.285714285714,33.42857142857143,-17.0,33.0,50.0,5
2025-11-16,2346.1428571428573,2314.8571428571427,31.285714285714285,20.0,51.0,31.0,4
2025-11-23,2395.5714285714284,2351.1428571428573,44.42857142857143,7.0,47.0,40.0,5
2025-11-30,2420.3571428571427,2390.8571428571427,29.5,10.0,41.0,31.0,4
2025-12-07,2449.714285714286,2418.5714285714284,31.142857142857142,-11.0,38.0,49.0,5
2025-12-14,2485.0,2445.714285714286,39.285714285714285,-5.0,34.0,39.0,5
2025-12-21,2513.4285714285716,2475.8571428571427,37.57142857142857,-4.0,52.0,56.0,5
